Date,Ticker,Close,Volume
2023-01-03,AMZN,85.82,76706040
2023-01-04,AMZN,85.14,68885123
2023-01-05,AMZN,83.12,67930825
2023-01-06,AMZN,86.08,83303361
2023-01-09,AMZN,87.36,65266056
2023-01-10,AMZN,89.87,67756601
2023-01-11,AMZN,95.09,103126183
2023-01-12,AMZN,95.27,85254781
2023-01-13,AMZN,98.12,85549432
2023-01-17,AMZN,96.05,72755001
2023-01-18,AMZN,95.46,79570370
2023-01-19,AMZN,93.68,69002663
2023-01-20,AMZN,97.25,67481539
2023-01-23,AMZN,97.52,76501103
2023-01-24,AMZN,96.32,66929452
2023-01-25,AMZN,97.18,94261570
2023-01-26,AMZN,99.22,68523557
2023-01-27,AMZN,102.24,87775614
2023-01-30,AMZN,100.55,70691860
2023-01-31,AMZN,103.13,66527253
2023-02-01,AMZN,105.15,80450121
2023-02-02,AMZN,112.91,158154243
2023-02-03,AMZN,103.39,144374828
2023-02-06,AMZN,102.18,81945199
2023-02-07,AMZN,102.11,119501301
2023-02-08,AMZN,100.05,75878304
2023-02-09,AMZN,98.24,64622489
2023-02-10,AMZN,97.61,52740133
2023-02-13,AMZN,99.54,52841464
2023-02-14,AMZN,99.7,56202898
2023-02-15,AMZN,101.16,48053879
2023-02-16,AMZN,98.15,56339173
2023-02-17,AMZN,97.2,60029405
2023-02-21,AMZN,94.58,56580360
2023-02-22,AMZN,95.79,59534094
2023-02-23,AMZN,95.82,48466994
2023-02-24,AMZN,93.5,57053812
2023-02-27,AMZN,93.76,47470321
2023-02-28,AMZN,94.23,43959290
2023-03-01,AMZN,92.17,52299524
2023-03-02,AMZN,92.13,55574820
2023-03-03,AMZN,94.9,55759609
2023-03-06,AMZN,93.75,52112355
2023-03-07,AMZN,93.55,49100668
2023-03-08,AMZN,93.92,44899128
2023-03-09,AMZN,92.25,56218705
2023-03-10,AMZN,90.73,69827490
2023-03-13,AMZN,92.43,72397053
2023-03-14,AMZN,94.88,60912674
2023-03-15,AMZN,96.2,70731792
2023-03-16,AMZN,100.04,84558934
2023-03-17,AMZN,98.95,87300242
2023-03-20,AMZN,97.71,62388911
2023-03-21,AMZN,100.61,58597275
2023-03-22,AMZN,98.7,57475365
2023-03-23,AMZN,98.71,57559310
2023-03-24,AMZN,98.13,56144801
2023-03-27,AMZN,98.04,46721296
2023-03-28,AMZN,97.24,38720050
2023-03-29,AMZN,100.25,49783279
2023-03-30,AMZN,102.0,53633398
2023-03-31,AMZN,103.29,56750317
2023-04-03,AMZN,102.41,41135733
2023-04-04,AMZN,103.95,48662496
2023-04-05,AMZN,101.1,45175393
2023-04-06,AMZN,102.06,43808020
2023-04-10,AMZN,102.17,37261185
2023-04-11,AMZN,99.92,60417847
2023-04-12,AMZN,97.83,56735007
2023-04-13,AMZN,102.4,67925138
2023-04-14,AMZN,102.51,51450522
2023-04-17,AMZN,102.74,39919457
2023-04-18,AMZN,102.3,39790518
2023-04-19,AMZN,104.3,58398890
2023-04-20,AMZN,103.81,57696866
2023-04-21,AMZN,106.96,86774185
2023-04-24,AMZN,106.21,69575610
2023-04-25,AMZN,102.57,65026818
2023-04-26,AMZN,104.98,73803790
2023-04-27,AMZN,109.82,149961167
2023-04-28,AMZN,105.45,130715946
2023-05-01,AMZN,102.05,74728096
2023-05-02,AMZN,103.63,73469350
2023-05-03,AMZN,103.65,65051925
2023-05-04,AMZN,104.0,45345523
2023-05-05,AMZN,105.655,56951744
2023-05-08,AMZN,105.83,49430909
2023-05-09,AMZN,106.62,44089359
2023-05-10,AMZN,110.19,78627616
2023-05-11,AMZN,112.18,74924841
2023-05-12,AMZN,110.26,49852671
2023-05-15,AMZN,111.2,53011145
2023-05-16,AMZN,113.4,71472908
2023-05-17,AMZN,115.5,65655177
2023-05-18,AMZN,118.15,73174087
